iter	Logloss
0	0.679456403
1	0.6671718477
2	0.655715484
3	0.6449228201
4	0.6343022653
5	0.625436134
6	0.6173164938
7	0.6088808498
8	0.6019222549
9	0.5948557621
10	0.5875784527
11	0.58157459
12	0.5748693212
13	0.5685764365
14	0.5630522518
15	0.5580889693
16	0.5535027394
17	0.5492534448
18	0.5452734217
19	0.5417043853
20	0.5378424047
21	0.5339061828
22	0.5305404811
23	0.527474731
24	0.5245528048
25	0.521251038
26	0.5184799717
27	0.5160745348
28	0.5130381848
29	0.5104346007
30	0.5081975092
31	0.5058016677
32	0.5032198455
33	0.5011083423
34	0.4989808326
35	0.4971173519
36	0.4957225033
37	0.494076083
38	0.4924433603
39	0.4904658046
40	0.4887581367
41	0.487203717
42	0.4857164661
43	0.4843853599
44	0.4831047094
45	0.4816882766
46	0.48026625
47	0.478752187
48	0.4773749705
49	0.4760628473
50	0.4750270532
51	0.4740013875
52	0.4729735918
53	0.4718665824
54	0.4707004577
55	0.4697795624
56	0.4688022457
57	0.4678064614
58	0.4668973091
59	0.4659844271
60	0.4651888877
61	0.4644169947
62	0.4637357844
63	0.4626339457
64	0.4619433143
65	0.4612478434
66	0.460386935
67	0.4596063413
68	0.4590017199
69	0.4584980766
70	0.4576566201
71	0.4569353799
72	0.4561905049
73	0.4555849044
74	0.4549625438
75	0.4543350206
76	0.4535614122
77	0.4530834629
78	0.4524733253
79	0.4518709017
80	0.4513024163
81	0.4505952863
82	0.450126362
83	0.4496729093
84	0.4491474661
85	0.4485047281
86	0.4480066468
87	0.4476549705
88	0.4471744066
89	0.4467031384
90	0.4461415894
91	0.4457322769
92	0.4451858251
93	0.4447405139
94	0.4442891763
95	0.443752538
96	0.4433507453
97	0.4428007451
98	0.4424089539
99	0.4420271313
100	0.4415503146
101	0.440964933
102	0.440374199
103	0.4399057939
104	0.4394747762
105	0.4389909262
106	0.4388091205
107	0.438467434
108	0.4380893216
109	0.4377486683
110	0.4374076678
111	0.4369202498
112	0.4364669964
113	0.4361046494
114	0.43567984
115	0.4354371349
116	0.4351715238
117	0.4348592822
118	0.4346772503
119	0.4344798367
120	0.4341079687
121	0.4338960124
122	0.4335694794
123	0.4331829634
124	0.4328274604
125	0.4324472685
126	0.4321969531
127	0.4318532386
128	0.4315944741
129	0.4314701467
130	0.431268988
131	0.4308815486
132	0.4306121788
133	0.4303011135
134	0.4300573637
135	0.4297020075
136	0.42930977
137	0.4288452203
138	0.4285824901
139	0.4283016022
140	0.4278497308
141	0.4276712376
142	0.4273526022
143	0.4271486677
144	0.4268411672
145	0.4267618534
146	0.4264202157
147	0.4260686915
148	0.4255992465
149	0.4253028326
150	0.4251574168
151	0.4248559428
152	0.4245609493
153	0.4241857705
154	0.4239160885
155	0.4236115887
156	0.4234646897
157	0.4231796014
158	0.4229440561
159	0.422560869
160	0.4223130285
161	0.4220360191
162	0.4218917677
163	0.4216920239
164	0.4214324551
165	0.4212175159
166	0.4209983253
167	0.4207751415
168	0.4205259228
169	0.420398811
170	0.420064865
171	0.4198188965
172	0.4196061074
173	0.4194006425
174	0.4191295208
175	0.4188663362
176	0.418642494
177	0.4183256376
178	0.4179851072
179	0.4177710061
180	0.4175794837
181	0.4174178248
182	0.4171509594
183	0.416851509
184	0.4166453364
185	0.4163568323
186	0.4161213664
187	0.4157606336
188	0.4154761707
189	0.4152372048
190	0.4150471738
191	0.414797295
192	0.4146683521
193	0.4145176512
194	0.4143794852
195	0.414263348
196	0.4140837719
197	0.4139174269
198	0.4136311244
199	0.4134351103
200	0.4132706
201	0.4130251733
202	0.4127917119
203	0.412638661
204	0.4123339812
205	0.4121542106
206	0.4120573466
207	0.4117140933
208	0.4113788353
209	0.411164708
210	0.4110020411
211	0.41072307
212	0.4104596384
213	0.4102944064
214	0.410081925
215	0.4098998333
216	0.4095002282
217	0.4092454217
218	0.4089718352
219	0.4087860496
220	0.4082157561
221	0.4079048489
222	0.4075841723
223	0.4072976201
224	0.4069927678
225	0.4068658845
226	0.4065726389
227	0.4064508786
228	0.4061127915
229	0.4059295666
230	0.4055159342
231	0.4052436519
232	0.4052146556
233	0.4050526421
234	0.4047683896
235	0.4045139061
236	0.4042238583
237	0.4040286172
238	0.4038854226
239	0.4035989566
240	0.4033583059
241	0.4032191387
242	0.4031914257
243	0.4028679507
244	0.4026995108
245	0.4024812814
246	0.4023252156
247	0.4020682782
248	0.4018661076
249	0.4017387645
250	0.4014852322
251	0.4012018421
252	0.4010367242
253	0.4008951422
254	0.4007556493
255	0.4005664912
256	0.4003492681
257	0.4001771001
258	0.3998527014
259	0.3997066366
260	0.3995487073
261	0.3992976732
262	0.3991695045
263	0.3990161197
264	0.3989300754
265	0.3987681749
266	0.3985009851
267	0.3984031073
268	0.3983193974
269	0.3980531835
270	0.3978716325
271	0.3975886276
272	0.3973869037
273	0.3972190229
274	0.3969829703
275	0.3967447264
276	0.3965524172
277	0.3964385367
278	0.3962856349
279	0.3961032247
280	0.3959085628
281	0.3957306249
282	0.3956083381
283	0.3954178405
284	0.3951283775
285	0.3950198504
286	0.3949030873
287	0.3946502188
288	0.3945308779
289	0.3943240935
290	0.3941505976
291	0.3939992857
292	0.3938204209
293	0.393664451
294	0.3934400118
295	0.3932632978
296	0.3930246215
297	0.3928354968
298	0.3927010459
299	0.3924726115
300	0.3922907617
301	0.3921260453
302	0.3919471831
303	0.3918259614
304	0.3916702792
305	0.3914935505
306	0.39132456
307	0.3911770901
308	0.3910113868
309	0.3906990312
310	0.390509998
311	0.3903614648
312	0.3901689435
313	0.3900061578
314	0.3897653403
315	0.3896553283
316	0.3895372801
317	0.3893966958
318	0.389215707
319	0.3891220631
320	0.3890247632
321	0.3887957205
322	0.3886606299
323	0.3884657808
324	0.3882405542
325	0.3880682429
326	0.3878688656
327	0.3877763508
328	0.3874661264
329	0.3872470442
330	0.3869922535
331	0.3867795853
332	0.3865869597
333	0.3864145766
334	0.3862310064
335	0.386010743
336	0.3858314504
337	0.3856728298
338	0.3853930458
339	0.3852936748
340	0.3849486785
341	0.3847966522
342	0.3846536986
343	0.3843210125
344	0.3841935407
345	0.3839762968
346	0.3838202346
347	0.3836907528
348	0.3835679208
349	0.3833330335
350	0.3830771718
351	0.3827048339
352	0.3825594975
353	0.3823847258
354	0.3821140896
355	0.3818632657
356	0.3815635915
357	0.3813029297
358	0.3809350347
359	0.3806914612
360	0.3804425654
361	0.3802328022
362	0.3800393361
363	0.3796530891
364	0.3795182346
365	0.379362047
366	0.3791726312
367	0.378909861
368	0.3786253244
369	0.3782368735
370	0.3780487033
371	0.3779032232
372	0.377782769
373	0.3774781328
374	0.3773494197
375	0.3772298305
376	0.3770590984
377	0.3768965156
378	0.3765968878
379	0.3761946113
380	0.375972391
381	0.3757069331
382	0.3755648469
383	0.375343245
384	0.3749560076
385	0.3747398868
386	0.3745825441
387	0.3744251465
388	0.3742490248
389	0.3741085737
390	0.3739778893
391	0.3737249952
392	0.3735358923
393	0.3732059762
394	0.3730724298
395	0.372747017
396	0.37254186
397	0.3723652996
398	0.3722028402
399	0.3719744894
400	0.3719020844
401	0.3717415361
402	0.3712630889
403	0.3710903485
404	0.3707910909
405	0.3706590159
406	0.3704997614
407	0.370321257
408	0.3700884601
409	0.3699570907
410	0.3696005141
411	0.3693025719
412	0.3690158031
413	0.3689524883
414	0.3687889293
415	0.3685335517
416	0.3684203229
417	0.3681680967
418	0.3678964651
419	0.3676094427
420	0.367427637
421	0.3671903334
422	0.3670013719
423	0.3667818899
424	0.3665977775
425	0.3662210949
426	0.3660374823
427	0.3658966607
428	0.3657764475
429	0.3655807734
430	0.3653301969
431	0.3650153538
432	0.3648943782
433	0.3647701917
434	0.3645879682
435	0.3643443993
436	0.3641798459
437	0.3640139001
438	0.363784117
439	0.3636569957
440	0.3634418597
441	0.3630703599
442	0.3627720704
443	0.3625992983
444	0.3624400024
445	0.3622377711
446	0.3621597201
447	0.3619480318
448	0.3618062451
449	0.3616186594
450	0.361423915
451	0.3613156225
452	0.3612051522
453	0.3608486497
454	0.360633828
455	0.3604688397
456	0.3603333431
457	0.3601989797
458	0.3600522678
459	0.3597956879
460	0.3595903017
461	0.3595080357
462	0.3593192677
463	0.3589005309
464	0.358746656
465	0.3586338368
466	0.3584482356
467	0.3582972457
468	0.3581102466
469	0.3579465901
470	0.3576804097
471	0.3574716279
472	0.3573571298
473	0.3572247626
474	0.357028566
475	0.3569277303
476	0.35678615
477	0.3566577941
478	0.356492381
479	0.3563016026
480	0.3558809921
481	0.3556796777
482	0.3555860046
483	0.355435819
484	0.3552835574
485	0.3550671872
486	0.3549433748
487	0.3547488389
488	0.354569347
489	0.354406145
490	0.3542992534
491	0.3541849318
492	0.3538888049
493	0.3537943974
494	0.3536979463
495	0.3535419589
496	0.3534158708
497	0.3532563471
498	0.3531128724
499	0.3528454283
500	0.3527099542
501	0.3526325305
502	0.352459007
503	0.3523308776
504	0.3521400965
505	0.3516419449
506	0.3514634158
507	0.3513508816
508	0.3511862972
509	0.3509889056
510	0.3508494066
511	0.3506654752
512	0.350526863
513	0.3504431043
514	0.3503379543
515	0.350255263
516	0.3501207519
517	0.3500257267
518	0.3498980316
519	0.3497701687
520	0.3496155424
521	0.3494972113
522	0.3494153033
523	0.3492974001
524	0.3491670419
525	0.3489348467
526	0.3487869584
527	0.3486280904
528	0.3484463899
529	0.3482105029
530	0.3480185835
531	0.3479408625
532	0.3476720072
533	0.347555893
534	0.3474546177
535	0.3471643101
536	0.3470412371
537	0.3469608258
538	0.3468339512
539	0.3467336068
540	0.3465576834
541	0.3463068337
542	0.3461369678
543	0.3459953285
544	0.3458068834
545	0.3457224081
546	0.3456137414
547	0.3454996429
548	0.3453434463
549	0.3452038517
550	0.3450504895
551	0.344901745
552	0.3447764104
553	0.344703524
554	0.3445264314
555	0.3444105214
556	0.3442146269
557	0.3440965629
558	0.3438525025
559	0.3437400423
560	0.3436593772
561	0.3435241307
562	0.3434467272
563	0.3432670741
564	0.3431084236
565	0.3429583036
566	0.342804296
567	0.3426411757
568	0.3425079074
569	0.3422604729
570	0.3420482804
571	0.3419457501
572	0.3417221489
573	0.3416534404
574	0.3413201498
575	0.3411581948
576	0.3410319813
577	0.3408584563
578	0.3407170476
579	0.3406096037
580	0.3405007377
581	0.3402945422
582	0.3402291349
583	0.3400896155
584	0.3399158361
585	0.3397898205
586	0.3396634788
587	0.3394945792
588	0.3393317801
589	0.3391873133
590	0.3390249984
591	0.3388718529
592	0.3387367104
593	0.3385707425
594	0.338450141
595	0.3383077121
596	0.3381891966
597	0.3379963049
598	0.3378342792
599	0.3377266602
600	0.3375994549
601	0.3374460696
602	0.3373231942
603	0.3372244992
604	0.33710834
605	0.3369542317
606	0.3367876289
607	0.336684579
608	0.3364984929
609	0.3363748546
610	0.3363177029
611	0.336110374
612	0.3359725725
613	0.3358701522
614	0.3357471818
615	0.3355352432
616	0.3353452226
617	0.3351054665
618	0.3350271282
619	0.3349299176
620	0.3348031317
621	0.3346720127
622	0.3344801806
623	0.3343138534
624	0.3341355814
625	0.333940546
626	0.3337276354
627	0.3335861655
628	0.3334546261
629	0.3333237936
630	0.3331967714
631	0.333068279
632	0.3329402752
633	0.3327991993
634	0.3327267678
635	0.3325428846
636	0.3323638018
637	0.3322092416
638	0.3320911136
639	0.331903475
640	0.3317981977
641	0.331612387
642	0.331435043
643	0.3313900311
644	0.3311254663
645	0.3310488066
646	0.3309275617
647	0.3308714795
648	0.3306545319
649	0.3305790611
650	0.3303686128
651	0.3302434706
652	0.3301240419
653	0.3299769149
654	0.3298579956
655	0.3297601055
656	0.3295547246
657	0.3294422453
658	0.3293235
659	0.3291743244
660	0.329106677
661	0.3289787168
662	0.3288724805
663	0.3288160469
664	0.3287153693
665	0.3284673538
666	0.3283639598
667	0.3282481816
668	0.3281346709
669	0.3280730105
670	0.3278350971
671	0.3277159273
672	0.3276148762
673	0.327443327
674	0.3273471757
675	0.327265126
676	0.3271335884
677	0.327043039
678	0.32694601
679	0.326810874
680	0.3265673966
681	0.326428305
682	0.3263175523
683	0.3261494837
684	0.326083859
685	0.3259893593
686	0.325898068
687	0.3257836344
688	0.325721284
689	0.3256590418
690	0.3255079195
691	0.32534506
692	0.3252202231
693	0.3251304436
694	0.3249628317
695	0.3248385616
696	0.3247015066
697	0.3245560854
698	0.3245015566
699	0.3243944852
700	0.324302417
701	0.3241605556
702	0.3240547764
703	0.3239518232
704	0.3238374313
705	0.3237217743
706	0.3235015231
707	0.3233963199
708	0.3232504418
709	0.3231228537
710	0.3230058374
711	0.3228872081
712	0.3227291846
713	0.3226602675
714	0.3225373747
715	0.3223705094
716	0.3222885469
717	0.3222349956
718	0.3221341184
719	0.3220101472
720	0.3219187195
721	0.3218064881
722	0.3216725494
723	0.3216027592
724	0.3214849256
725	0.3213389237
726	0.32120236
727	0.321053598
728	0.3209661105
729	0.3208203062
730	0.3207134034
731	0.3206013148
732	0.320477579
733	0.3203659129
734	0.3202305507
735	0.3201839276
736	0.3200437392
737	0.3198828372
738	0.3197161779
739	0.3196720379
740	0.3195890661
741	0.3194314801
742	0.3192938154
743	0.3192123661
744	0.3190673327
745	0.3189367958
746	0.3188224478
747	0.3187602282
748	0.3185703344
749	0.3185374187
750	0.3183770323
751	0.3182553203
752	0.3180852963
753	0.3179926673
754	0.317912933
755	0.3177878858
756	0.3177562102
757	0.3175961502
758	0.317450309
759	0.3173694358
760	0.3172633527
761	0.3171122884
762	0.3169591656
763	0.3168252706
764	0.3166695993
765	0.3165557619
766	0.3165031631
767	0.3163777148
768	0.3163134893
769	0.3162520533
770	0.316164902
771	0.316033554
772	0.3159198419
773	0.3158072456
774	0.3157300355
775	0.3156923044
776	0.3155914213
777	0.3155379764
778	0.3153897392
779	0.3152646415
780	0.3151601516
781	0.315043483
782	0.3149523307
783	0.3148832526
784	0.3147789862
785	0.3146643299
786	0.3145670359
787	0.3144525685
788	0.3143409007
789	0.3142736833
790	0.3141376592
791	0.3140437571
792	0.3139718284
793	0.3138395982
794	0.3136230808
795	0.3134626532
796	0.3133631173
797	0.3132616876
798	0.3131152424
799	0.3129979461
800	0.3128924932
801	0.3127575184
802	0.3125974342
803	0.3124678911
804	0.3123329445
805	0.3122513093
806	0.3121471032
807	0.312025971
808	0.3119263473
809	0.3117533474
810	0.3116578778
811	0.3116031125
812	0.3113987895
813	0.3112774721
814	0.3111236502
815	0.3110295705
816	0.3109404001
817	0.3108725237
818	0.3107676239
819	0.3107053311
820	0.3106121702
821	0.3104800795
822	0.3103524248
823	0.3103233449
824	0.3102023076
825	0.3101400141
826	0.3100160689
827	0.3098722775
828	0.3097823379
829	0.309714327
830	0.3095625943
831	0.3094489184
832	0.3093687286
833	0.3091881706
834	0.3090089826
835	0.3089429101
836	0.3088769112
837	0.3087868111
838	0.3086518676
839	0.3085503725
840	0.3084500416
841	0.3083370966
842	0.3082806176
843	0.3081676622
844	0.3080889158
845	0.307967734
846	0.3078911311
847	0.3078183335
848	0.3077422177
849	0.3076646319
850	0.3075067101
851	0.3074231269
852	0.3073340884
853	0.3071099923
854	0.3070011884
855	0.3069194184
856	0.3067852173
857	0.306671406
858	0.306516783
859	0.3064495177
860	0.3063186671
861	0.3062506488
862	0.3061776024
863	0.3060730556
864	0.3059779589
865	0.3058641196
866	0.3057895844
867	0.305663935
868	0.3055614063
869	0.3055255131
870	0.3054306795
871	0.3053394741
872	0.3051856346
873	0.3051494739
874	0.3050865086
875	0.304958381
876	0.30486962
877	0.304795778
878	0.3047024967
879	0.3045806501
880	0.3044415759
881	0.3043815896
882	0.3042418701
883	0.3041480827
884	0.3039987137
885	0.303877196
886	0.3037250368
887	0.3036563755
888	0.3035781086
889	0.3035131644
890	0.3034833464
891	0.3033691402
892	0.3032891717
893	0.3031486861
894	0.3029881773
895	0.3028355965
896	0.3027698852
897	0.3026093362
898	0.3025100501
899	0.3024584382
900	0.302312634
901	0.3022202239
902	0.30210651
903	0.3019738663
904	0.301888494
905	0.3017886347
906	0.3017147183
907	0.3016523632
908	0.3015912929
909	0.3015164026
910	0.301436155
911	0.3013484396
912	0.3012867642
913	0.3011883942
914	0.3011017107
915	0.3009851432
916	0.300858176
917	0.3007270337
918	0.300629345
919	0.3005779383
920	0.3004779726
921	0.3004409914
922	0.3003304501
923	0.3001032379
924	0.3000047104
925	0.299886503
926	0.299605505
927	0.2995102679
928	0.2994426156
929	0.2993261399
930	0.2992160889
931	0.2991531869
932	0.2990714957
933	0.2988731639
934	0.2987504847
935	0.2986507093
936	0.2985249945
937	0.2984545313
938	0.2983623355
939	0.2982822472
940	0.2982023543
941	0.2980908492
942	0.297936673
943	0.2978790573
944	0.2977748248
945	0.2976797923
946	0.2976315627
947	0.2975581026
948	0.2974066541
949	0.2973364944
950	0.2972301023
951	0.2971238524
952	0.2969809118
953	0.2969241926
954	0.2968602635
955	0.2967565018
956	0.2966842016
957	0.296571421
958	0.296530398
959	0.2964617574
960	0.2963759956
961	0.2962983771
962	0.2962118545
963	0.2960926957
